GEOID,Block Group GeoID,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Owner occupied:,Estimate!!Total:!!Owner occupied:!!No vehicle available,Owner Carlessness Percentage,Estimate!!Total:!!Owner occupied:!!1 vehicle available,Margin of Error!!Total:!!Owner occupied:!!1 vehicle available,Estimate!!Total:!!Owner occupied:!!2 vehicles available,Margin of Error!!Total:!!Owner occupied:!!2 vehicles available,Estimate!!Total:!!Owner occupied:!!3 vehicles available,Margin of Error!!Total:!!Owner occupied:!!3 vehicles available,Estimate!!Total:!!Owner occupied:!!4 vehicles available,Margin of Error!!Total:!!Owner occupied:!!4 vehicles available,Estimate!!Total:!!Owner occupied:!!5 or more vehicles available,Margin of Error!!Total:!!Owner occupied:!!5 or more vehicles available,Estimate!!Total:!!Renter occupied:,Estimate!!Total:!!Renter occupied:!!No vehicle available,Total Carlessness Count,carless_percentage,Estimate!!Total:!!Renter occupied:!!1 vehicle available,Margin of Error!!Total:!!Renter occupied:!!1 vehicle available,Estimate!!Total:!!Renter occupied:!!2 vehicles available,Margin of Error!!Total:!!Renter occupied:!!2 vehicles available,Estimate!!Total:!!Renter occupied:!!3 vehicles available,Margin of Error!!Total:!!Renter occupied:!!3 vehicles available,Estimate!!Total:!!Renter occupied:!!4 vehicles available,Margin of Error!!Total:!!Renter occupied:!!4 vehicles available,Estimate!!Total:!!Renter occupied:!!5 or more vehicles available,Margin of Error!!Total:!!Renter occupied:!!5 or more vehicles available
1500000US060750101011,060750101011,Block Group 1; Census Tract 101.01; San Francisco County; California,517,22,0,0,0,14,22,32,0,14,0,14,0,14,495,183,203,39%,281,137,31,35,0,14,0,14,0,14
1500000US060750108001,060750108001,Block Group 1; Census Tract 108; San Francisco County; California,953,325,47,0.144615385,145,105,40,34,93,123,0,14,0,14,628,23,33,3%,432,251,173,169,0,14,0,14,0,14
1500000US060750108002,060750108002,Block Group 2; Census Tract 108; San Francisco County; California,422,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,422,158,169,40%,195,128,69,76,0,14,0,14,0,14
1500000US060750108003,060750108003,Block Group 3; Census Tract 108; San Francisco County; California,1027,195,141,0.723076923,37,42,17,27,0,14,0,14,0,14,832,405,424,41%,332,149,95,75,0,14,0,14,0,14
1500000US060750109011,060750109011,Block Group 1; Census Tract 109.01; San Francisco County; California,581,90,7,0.077777778,54,55,0,14,29,43,0,14,0,14,491,99,134,23%,286,125,70,66,36,55,0,14,0,14
1500000US060750109012,060750109012,Block Group 2; Census Tract 109.01; San Francisco County; California,477,62,9,0.14516129,43,41,10,12,0,14,0,14,0,14,415,222,239,50%,100,49,79,55,14,22,0,14,0,14
1500000US060750109021,060750109021,Block Group 1; Census Tract 109.02; San Francisco County; California,679,105,20,0.19047619,41,37,44,45,0,14,0,14,0,14,574,469,469,69%,90,56,15,24,0,14,0,14,0,14
1500000US060750109022,060750109022,Block Group 2; Census Tract 109.02; San Francisco County; California,782,79,24,0.303797468,55,45,0,14,0,14,0,14,0,14,703,375,382,49%,297,138,16,26,15,24,0,14,0,14
1500000US060750110011,060750110011,Block Group 1; Census Tract 110.01; San Francisco County; California,784,84,0,0,54,50,30,27,0,14,0,14,0,14,700,498,498,64%,153,89,10,16,39,46,0,14,0,14
1500000US060750110012,060750110012,Block Group 2; Census Tract 110.01; San Francisco County; California,634,157,32,0.203821656,116,90,9,13,0,14,0,14,0,14,477,254,292,46%,179,89,7,19,37,32,0,14,0,14
1500000US060750110021,060750110021,Block Group 1; Census Tract 110.02; San Francisco County; California,405,183,0,0,172,195,11,17,0,14,0,14,0,14,222,172,172,42%,34,39,16,28,0,14,0,14,0,14
1500000US060750110022,060750110022,Block Group 2; Census Tract 110.02; San Francisco County; California,286,73,7,0.095890411,10,17,56,56,0,14,0,14,0,14,213,70,201,70%,112,81,31,38,0,14,0,14,0,14
1500000US060750110023,060750110023,Block Group 3; Census Tract 110.02; San Francisco County; California,513,161,14,0.086956522,147,89,0,14,0,14,0,14,0,14,352,136,136,27%,207,106,9,14,0,14,0,14,0,14
1500000US060750111011,060750111011,Block Group 1; Census Tract 111.01; San Francisco County; California,635,68,8,0.117647059,60,62,0,14,0,14,0,14,0,14,567,313,325,51%,182,95,72,80,0,14,0,14,0,14
1500000US060750111012,060750111012,Block Group 2; Census Tract 111.01; San Francisco County; California,344,43,8,0.186046512,27,33,8,13,0,14,0,14,0,14,301,181,181,53%,114,76,6,12,0,14,0,14,0,14
1500000US060750111013,060750111013,Block Group 3; Census Tract 111.01; San Francisco County; California,469,48,11,0.229166667,37,36,0,14,0,14,0,14,0,14,421,210,210,45%,211,154,0,14,0,14,0,14,0,14
1500000US060750111021,060750111021,Block Group 1; Census Tract 111.02; San Francisco County; California,693,50,30,0.6,20,32,0,14,0,14,0,14,0,14,643,373,435,63%,208,167,15,24,0,14,47,72,0,14
1500000US060750111022,060750111022,Block Group 2; Census Tract 111.02; San Francisco County; California,628,69,64,0.927536232,5,10,0,14,0,14,0,14,0,14,559,407,407,65%,144,84,8,13,0,14,0,14,0,14
1500000US060750112001,060750112001,Block Group 1; Census Tract 112; San Francisco County; California,686,169,77,0.455621302,62,42,30,37,0,14,0,14,0,14,517,344,344,50%,139,80,34,39,0,14,0,14,0,14
1500000US060750112002,060750112002,Block Group 2; Census Tract 112; San Francisco County; California,352,91,0,0,57,48,34,36,0,14,0,14,0,14,261,150,175,50%,68,57,43,39,0,14,0,14,0,14
1500000US060750112003,060750112003,Block Group 3; Census Tract 112; San Francisco County; California,297,48,22,0.458333333,16,25,0,14,10,16,0,14,0,14,249,186,186,63%,63,53,0,14,0,14,0,14,0,14
1500000US060750112004,060750112004,Block Group 4; Census Tract 112; San Francisco County; California,325,44,0,0,37,34,7,12,0,14,0,14,0,14,281,225,225,69%,56,67,0,14,0,14,0,14,0,14
1500000US060750113001,060750113001,Block Group 1; Census Tract 113; San Francisco County; California,429,52,13,0.25,39,45,0,14,0,14,0,14,0,14,377,211,211,49%,143,102,23,25,0,14,0,14,0,14
1500000US060750113002,060750113002,Block Group 2; Census Tract 113; San Francisco County; California,933,47,5,0.106382979,42,36,0,14,0,14,0,14,0,14,886,732,732,78%,114,69,21,23,19,22,0,14,0,14
1500000US060750117001,060750117001,Block Group 1; Census Tract 117; San Francisco County; California,249,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,249,152,152,61%,97,60,0,14,0,14,0,14,0,14
1500000US060750117002,060750117002,Block Group 2; Census Tract 117; San Francisco County; California,232,20,20,1,0,14,0,14,0,14,0,14,0,14,212,199,199,86%,13,21,0,14,0,14,0,14,0,14
1500000US060750117003,060750117003,Block Group 3; Census Tract 117; San Francisco County; California,223,49,32,0.653061224,17,26,0,14,0,14,0,14,0,14,174,158,158,71%,16,25,0,14,0,14,0,14,0,14
1500000US060750117004,060750117004,Block Group 4; Census Tract 117; San Francisco County; California,401,125,78,0.624,47,34,0,14,0,14,0,14,0,14,276,202,202,50%,62,65,0,14,0,14,12,23,0,14
1500000US060750118001,060750118001,Block Group 1; Census Tract 118; San Francisco County; California,654,9,9,1,0,14,0,14,0,14,0,14,0,14,645,446,446,68%,153,74,21,21,25,31,0,14,0,14
1500000US060750119011,060750119011,Block Group 1; Census Tract 119.01; San Francisco County; California,742,106,35,0.330188679,61,40,10,16,0,14,0,14,0,14,636,508,508,68%,85,45,12,21,31,38,0,14,0,14
1500000US060750119012,060750119012,Block Group 2; Census Tract 119.01; San Francisco County; California,186,27,0,0,27,25,0,14,0,14,0,14,0,14,159,33,33,18%,117,72,9,15,0,14,0,14,0,14
1500000US060750119013,060750119013,Block Group 3; Census Tract 119.01; San Francisco County; California,291,42,10,0.238095238,32,30,0,14,0,14,0,14,0,14,249,166,166,57%,83,64,0,14,0,14,0,14,0,14
1500000US060750119021,060750119021,Block Group 1; Census Tract 119.02; San Francisco County; California,275,56,11,0.196428571,14,18,31,37,0,14,0,14,0,14,219,113,113,41%,95,108,11,18,0,14,0,14,0,14
1500000US060750119022,060750119022,Block Group 2; Census Tract 119.02; San Francisco County; California,970,19,19,1,0,14,0,14,0,14,0,14,0,14,951,690,710,73%,203,103,34,51,24,39,0,14,0,14
1500000US060750119023,060750119023,Block Group 3; Census Tract 119.02; San Francisco County; California,500,45,35,0.777777778,10,15,0,14,0,14,0,14,0,14,455,346,346,69%,103,69,6,10,0,14,0,14,0,14
1500000US060750120011,060750120011,Block Group 1; Census Tract 120.01; San Francisco County; California,505,47,17,0.361702128,19,30,11,16,0,14,0,14,0,14,458,257,301,60%,149,103,0,14,52,4,0,14,0,14
1500000US060750120012,060750120012,Block Group 2; Census Tract 120.01; San Francisco County; California,497,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,497,329,329,66%,97,77,0,14,71,93,0,14,0,14
1500000US060750120021,060750120021,Block Group 1; Census Tract 120.02; San Francisco County; California,985,168,7,0.041666667,161,218,0,14,0,14,0,14,0,14,817,646,646,66%,171,90,0,14,0,14,0,14,0,14
1500000US060750120022,060750120022,Block Group 2; Census Tract 120.02; San Francisco County; California,378,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,378,208,208,55%,112,85,58,67,0,14,0,14,0,14
1500000US060750121001,060750121001,Block Group 1; Census Tract 121; San Francisco County; California,461,38,38,1,0,14,0,14,0,14,0,14,0,14,423,282,282,61%,141,117,0,14,0,14,0,14,0,14
1500000US060750121002,060750121002,Block Group 2; Census Tract 121; San Francisco County; California,792,23,0,0,23,40,0,14,0,14,0,14,0,14,769,517,517,65%,252,236,0,14,0,14,0,14,0,14
1500000US060750121003,060750121003,Block Group 3; Census Tract 121; San Francisco County; California,731,131,131,1,0,14,0,14,0,14,0,14,0,14,600,407,434,59%,193,112,0,14,0,14,0,14,0,14
1500000US060750122021,060750122021,Block Group 1; Census Tract 122.02; San Francisco County; California,652,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,652,490,490,75%,154,129,8,12,0,14,0,14,0,14
1500000US060750122022,060750122022,Block Group 2; Census Tract 122.02; San Francisco County; California,722,149,12,0.080536913,122,120,15,24,0,14,0,14,0,14,573,453,453,63%,120,63,0,14,0,14,0,14,0,14
1500000US060750122031,060750122031,Block Group 1; Census Tract 122.03; San Francisco County; California,598,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,598,487,498,83%,85,63,26,24,0,14,0,14,0,14
1500000US060750122032,060750122032,Block Group 2; Census Tract 122.03; San Francisco County; California,460,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,460,234,243,53%,226,55,0,14,0,14,0,14,0,14
1500000US060750122041,060750122041,Block Group 1; Census Tract 122.04; San Francisco County; California,593,86,62,0.720930233,15,23,0,14,0,14,0,14,9,14,507,393,479,81%,114,84,0,14,0,14,0,14,0,14
1500000US060750122042,060750122042,Block Group 2; Census Tract 122.04; San Francisco County; California,366,33,0,0,16,26,17,26,0,14,0,14,0,14,333,235,235,64%,98,57,0,14,0,14,0,14,0,14
1500000US060750122043,060750122043,Block Group 3; Census Tract 122.04; San Francisco County; California,560,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,560,508,508,91%,52,50,0,14,0,14,0,14,0,14
1500000US060750123011,060750123011,Block Group 1; Census Tract 123.01; San Francisco County; California,548,36,25,0.694444444,0,14,11,18,0,14,0,14,0,14,512,427,467,85%,85,57,0,14,0,14,0,14,0,14
1500000US060750123012,060750123012,Block Group 2; Census Tract 123.01; San Francisco County; California,456,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,456,394,394,86%,62,83,0,14,0,14,0,14,0,14
1500000US060750123013,060750123013,Block Group 3; Census Tract 123.01; San Francisco County; California,186,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,186,186,186,100%,0,14,0,14,0,14,0,14,0,14
1500000US060750123021,060750123021,Block Group 1; Census Tract 123.02; San Francisco County; California,371,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,371,345,381,103%,19,22,7,12,0,14,0,14,0,14
1500000US060750123022,060750123022,Block Group 2; Census Tract 123.02; San Francisco County; California,588,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,588,521,521,89%,67,49,0,14,0,14,0,14,0,14
1500000US060750123023,060750123023,Block Group 3; Census Tract 123.02; San Francisco County; California,415,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,415,366,371,89%,33,30,16,18,0,14,0,14,0,14
1500000US060750123024,060750123024,Block Group 4; Census Tract 123.02; San Francisco County; California,515,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,515,422,449,87%,49,43,0,14,0,14,0,14,44,45
1500000US060750124031,060750124031,Block Group 1; Census Tract 124.03; San Francisco County; California,727,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,727,554,570,78%,125,78,48,76,0,14,0,14,0,14
1500000US060750124032,060750124032,Block Group 2; Census Tract 124.03; San Francisco County; California,495,17,0,0,17,29,0,14,0,14,0,14,0,14,478,431,439,89%,32,39,15,24,0,14,0,14,0,14
1500000US060750124041,060750124041,Block Group 1; Census Tract 124.04; San Francisco County; California,902,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,902,635,650,72%,191,110,49,61,0,14,0,14,27,42
1500000US060750124042,060750124042,Block Group 2; Census Tract 124.04; San Francisco County; California,298,17,0,0,17,27,0,14,0,14,0,14,0,14,281,268,268,90%,0,14,13,23,0,14,0,14,0,14
1500000US060750124043,060750124043,Block Group 3; Census Tract 124.04; San Francisco County; California,341,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,341,254,254,74%,66,67,0,14,21,34,0,14,0,14
1500000US060750124051,060750124051,Block Group 1; Census Tract 124.05; San Francisco County; California,718,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,718,643,751,105%,75,82,0,14,0,14,0,14,0,14
1500000US060750124052,060750124052,Block Group 2; Census Tract 124.05; San Francisco County; California,1411,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,1411,1016,1016,72%,318,161,77,117,0,14,0,14,0,14
1500000US060750124053,060750124053,Block Group 3; Census Tract 124.05; San Francisco County; California,450,37,20,0.540540541,0,14,0,14,17,28,0,14,0,14,413,158,158,35%,255,144,0,14,0,14,0,14,0,14
1500000US060750124061,060750124061,Block Group 1; Census Tract 124.06; San Francisco County; California,226,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,226,183,183,81%,43,40,0,14,0,14,0,14,0,14
1500000US060750124062,060750124062,Block Group 2; Census Tract 124.06; San Francisco County; California,725,119,44,0.369747899,60,42,15,23,0,14,0,14,0,14,606,446,549,76%,160,95,0,14,0,14,0,14,0,14
1500000US060750125021,060750125021,Block Group 1; Census Tract 125.02; San Francisco County; California,448,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,448,448,448,100%,0,14,0,14,0,14,0,14,0,14
1500000US060750125022,060750125022,Block Group 2; Census Tract 125.02; San Francisco County; California,656,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,656,516,516,79%,96,126,44,40,0,14,0,14,0,14
1500000US060750125023,060750125023,Block Group 3; Census Tract 125.02; San Francisco County; California,495,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,495,419,429,87%,35,56,0,14,41,41,0,14,0,14
1500000US060750125024,060750125024,Block Group 4; Census Tract 125.02; San Francisco County; California,651,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,651,540,548,84%,111,128,0,14,0,14,0,14,0,14
1500000US060750125031,060750125031,Block Group 1; Census Tract 125.03; San Francisco County; California,672,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,672,587,609,91%,85,112,0,14,0,14,0,14,0,14
1500000US060750125032,060750125032,Block Group 2; Census Tract 125.03; San Francisco County; California,512,45,27,0.6,18,41,0,14,0,14,0,14,0,14,467,249,259,51%,88,101,0,14,130,161,0,14,0,14
1500000US060750125033,060750125033,Block Group 3; Census Tract 125.03; San Francisco County; California,1040,0,0,#DIV/0!,0,14,0,14,0,14,0,14,0,14,1040,793,793,76%,247,153,0,14,0,14,0,14,0,14
1500000US060750125041,060750125041,Block Group 1; Census Tract 125.04; San Francisco County; California,342,42,0,0,0,14,16,23,26,42,0,14,0,14,300,259,352,103%,3,6,38,59,0,14,0,14,0,14
1500000US060750126011,060750126011,Block Group 1; Census Tract 126.01; San Francisco County; California,683,173,11,0.063583815,73,51,71,52,18,27,0,14,0,14,510,272,272,40%,232,123,6,9,0,14,0,14,0,14
1500000US060750126012,060750126012,Block Group 2; Census Tract 126.01; San Francisco County; California,599,113,9,0.079646018,27,26,77,59,0,14,0,14,0,14,486,148,188,31%,264,90,74,71,0,14,0,14,0,14
1500000US060750126021,060750126021,Block Group 1; Census Tract 126.02; San Francisco County; California,750,310,86,0.277419355,152,86,72,54,0,14,0,14,0,14,440,141,151,20%,215,84,84,55,0,14,0,14,0,14
1500000US060750126022,060750126022,Block Group 2; Census Tract 126.02; San Francisco County; California,720,144,0,0,67,44,39,51,38,20,0,14,0,14,576,176,188,26%,275,106,60,52,53,53,0,14,12,13
1500000US060750127001,060750127001,Block Group 1; Census Tract 127; San Francisco County; California,1064,399,0,0,225,154,174,186,0,14,0,14,0,14,665,34,45,4%,583,178,22,35,0,14,0,14,26,33
1500000US060750127002,060750127002,Block Group 2; Census Tract 127; San Francisco County; California,657,256,40,0.15625,133,152,83,56,0,14,0,14,0,14,401,171,171,26%,171,100,59,70,0,14,0,14,0,14
1500000US060750127003,060750127003,Block Group 3; Census Tract 127; San Francisco County; California,275,58,0,0,0,14,58,73,0,14,0,14,0,14,217,110,118,43%,85,67,22,37,0,14,0,14,0,14
1500000US060750128011,060750128011,Block Group 1; Census Tract 128.01; San Francisco County; California,351,193,0,0,59,48,124,61,0,14,10,21,0,14,158,15,62,18%,125,77,0,14,18,31,0,14,0,14
1500000US060750128012,060750128012,Block Group 2; Census Tract 128.01; San Francisco County; California,475,196,36,0.183673469,60,42,53,53,16,27,31,33,0,14,279,135,181,38%,132,110,12,21,0,14,0,14,0,14
1500000US060750128013,060750128013,Block Group 3; Census Tract 128.01; San Francisco County; California,336,48,0,0,37,37,11,19,0,14,0,14,0,14,288,147,164,49%,100,63,41,40,0,14,0,14,0,14
1500000US060750128021,060750128021,Block Group 1; Census Tract 128.02; San Francisco County; California,517,186,5,0.02688172,72,53,98,68,11,19,0,14,0,14,331,40,59,11%,223,126,20,32,0,14,48,58,0,14
1500000US060750128022,060750128022,Block Group 2; Census Tract 128.02; San Francisco County; California,484,110,27,0.245454545,24,25,59,49,0,14,0,14,0,14,374,154,176,36%,212,121,8,16,0,14,0,14,0,14
1500000US060750129011,060750129011,Block Group 1; Census Tract 129.01; San Francisco County; California,700,98,16,0.163265306,50,56,26,21,6,10,0,14,0,14,602,220,244,35%,356,83,26,23,0,14,0,14,0,14
1500000US060750129012,060750129012,Block Group 2; Census Tract 129.01; San Francisco County; California,759,208,8,0.038461538,148,74,45,36,0,14,7,10,0,14,551,146,210,28%,367,172,29,28,0,14,0,14,9,14
1500000US060750129021,060750129021,Block Group 1; Census Tract 129.02; San Francisco County; California,609,165,15,0.090909091,135,87,15,22,0,14,0,14,0,14,444,160,168,28%,160,77,34,32,90,96,0,14,0,14
1500000US060750129022,060750129022,Block Group 2; Census Tract 129.02; San Francisco County; California,838,200,0,0,158,76,29,32,13,21,0,14,0,14,638,235,235,28%,390,143,0,14,13,20,0,14,0,14
1500000US060750129023,060750129023,Block Group 3; Census Tract 129.02; San Francisco County; California,287,38,0,0,38,34,0,14,0,14,0,14,0,14,249,85,85,30%,121,68,43,39,0,14,0,14,0,14
1500000US060750130011,060750130011,Block Group 1; Census Tract 130.01; San Francisco County; California,620,193,108,0.559585492,47,40,31,30,7,12,0,14,0,14,427,166,228,37%,195,92,66,53,0,14,0,14,0,14
1500000US060750130012,060750130012,Block Group 2; Census Tract 130.01; San Francisco County; California,291,96,0,0,61,42,20,28,15,28,0,14,0,14,195,20,71,24%,140,68,35,34,0,14,0,14,0,14
1500000US060750130021,060750130021,Block Group 1; Census Tract 130.02; San Francisco County; California,821,196,0,0,97,98,86,79,13,20,0,14,0,14,625,268,282,34%,286,139,31,50,40,62,0,14,0,14
1500000US060750130022,060750130022,Block Group 2; Census Tract 130.02; San Francisco County; California,464,128,0,0,56,40,58,52,14,22,0,14,0,14,336,164,199,43%,172,119,0,14,0,14,0,14,0,14
1500000US060750131011,060750131011,Block Group 1; Census Tract 131.01; San Francisco County; California,819,207,103,0.497584541,92,96,12,19,0,14,0,14,0,14,612,149,166,20%,436,246,27,35,0,14,0,14,0,14
1500000US060750131012,060750131012,Block Group 2; Census Tract 131.01; San Francisco County; California,515,118,0,0,86,72,32,54,0,14,0,14,0,14,397,96,96,19%,270,128,13,23,0,14,0,14,18,33
1500000US060750131013,060750131013,Block Group 3; Census Tract 131.01; San Francisco County; California,450,72,0,0,72,94,0,14,0,14,0,14,0,14,378,60,60,13%,230,111,88,111,0,14,0,14,0,14
1500000US060750131014,060750131014,Block Group 4; Census Tract 131.01; San Francisco County; California,449,111,10,0.09009009,85,47,16,46,0,14,0,14,0,14,338,77,77,17%,261,148,0,14,0,14,0,14,0,14
1500000US060750131021,060750131021,Block Group 1; Census Tract 131.02; San Francisco County; California,830,121,8,0.066115702,59,39,35,31,0,14,19,24,0,14,709,220,220,27%,438,246,42,39,9,14,0,14,0,14
